season,player_id,player,kind,touched,yards,epa,fumble_lost
2015,00-0029572,J.Wright,target,0,0.0,-1.6976,0
2015,00-0032144,M.Gordon,rush,1,0.0,-0.6455,0
2015,00-0032144,M.Gordon,rush,1,2.0,-0.6146,0
2015,00-0030279,K.Allen,target,1,5.0,-0.5126,0
2015,00-0025394,A.Peterson,rush,1,5.0,0.0302,0
2015,00-0026901,M.Wallace,target,1,13.0,1.0268,0
2015,00-0025394,A.Peterson,rush,1,21.0,1.0036,0
2015,00-0027981,K.Rudolph,target,0,0.0,-0.3306,0
2015,00-0030113,C.Johnson,target,0,0.0,-4.462,0
2015,00-0026019,D.Woodhead,rush,1,5.0,0.0883,0
2015,00-0026019,D.Woodhead,target,1,22.0,1.8036,0
2015,00-0032144,M.Gordon,rush,1,0.0,-0.4997,0
2015,00-0032144,M.Gordon,rush,1,8.0,0.2986,0
2015,00-0032144,M.Gordon,rush,1,1.0,-1.4658,0
2015,00-0025394,A.Peterson,rush,1,2.0,-0.3636,0
2015,00-0030035,A.Thielen,target,0,0.0,-0.6721,0
2015,00-0025394,A.Peterson,rush,1,-1.0,-0.7302,0
2015,00-0025394,A.Peterson,rush,1,-2.0,-1.1413,0
2015,00-0027981,K.Rudolph,target,1,10.0,-0.345,0
2015,00-0032144,M.Gordon,target,0,0.0,-0.508,0
2015,00-0030279,K.Allen,target,0,0.0,-0.7313,0
2015,00-0025394,A.Peterson,rush,1,6.0,0.1565,0
2015,00-0025394,A.Peterson,rush,1,1.0,-0.71,0
2015,00-0027981,K.Rudolph,target,0,0.0,-1.7365,0
2015,00-0032144,M.Gordon,rush,1,7.0,0.3216,0
2015,00-0030279,K.Allen,target,1,16.0,1.1869,0
2015,00-0032144,M.Gordon,rush,1,2.0,-0.4055,0
2015,00-0031277,B.Oliver,target,0,0.0,-0.7746,0
2015,00-0030279,K.Allen,target,0,0.0,-1.5207,0
2015,00-0031376,J.McKinnon,rush,1,9.0,0.7403,0
2015,00-0031376,J.McKinnon,rush,1,3.0,-0.0519,0
2015,00-0031376,J.McKinnon,rush,1,-1.0,-0.6257,0
2015,00-0029572,J.Wright,target,1,2.0,-0.5966,0
2015,00-0026901,M.Wallace,target,1,19.0,2.298,0
2015,00-0028198,M.Asiata,rush,1,2.0,-0.386,0
2015,00-0030035,A.Thielen,target,1,5.0,0.0076,0
2015,00-0028198,M.Asiata,target,1,6.0,1.1107,0
2015,00-0029572,J.Wright,target,1,17.0,1.1926,0
2015,00-0025394,A.Peterson,rush,1,3.0,0.0789,0
2015,00-0025394,A.Peterson,rush,1,2.0,1.0966,0
2015,00-0027139,J.Phillips,target,1,8.0,0.4504,0
2015,00-0026364,S.Johnson,target,1,1.0,-0.0643,0
2015,00-0026957,D.Johnson,rush,1,2.0,0.3402,0
2015,00-0027139,J.Phillips,target,1,15.0,0.9477,0
2015,00-0026019,D.Woodhead,rush,1,1.0,-0.4455,0
2015,00-0030279,K.Allen,target,1,2.0,-0.5004,0
2015,00-0026019,D.Woodhead,target,0,0.0,-1.4672,0
2015,00-0025394,A.Peterson,rush,1,4.0,-0.1902,0
2015,00-0027981,K.Rudolph,target,0,0.0,-0.58,0
2015,00-0027981,K.Rudolph,target,1,4.0,-0.6061,0
2015,00-0022414,M.Floyd,target,1,6.0,0.1839,0
2015,00-0032144,M.Gordon,rush,1,4.0,0.4658,0
2015,00-0026364,S.Johnson,target,0,0.0,-0.5283,0
2015,00-0022414,M.Floyd,target,1,39.0,2.9904,0
2015,00-0030279,K.Allen,target,1,8.0,0.3597,0
2015,00-0030279,K.Allen,target,1,7.0,0.6025,0
2015,00-0030279,K.Allen,target,0,0.0,-0.2875,0
2015,00-0030279,K.Allen,target,1,34.0,4.0947,0
