season,week,game_id,team,opp,home,plays,yards,top_seconds,turnovers,points_for,points_against,win
2016,8,2016_08_GB_ATL,ATL,GB,1,57,367.0,1723,0,33,32,1
2016,8,2016_08_GB_ATL,GB,ATL,0,61,333.0,1877,0,32,33,0
2016,8,2016_08_JAX_TEN,JAX,TEN,0,68,372.0,1535,0,22,36,0
2016,8,2016_08_JAX_TEN,TEN,JAX,1,66,494.0,2065,1,36,22,1
2016,8,2016_08_KC_IND,IND,KC,1,62,277.0,1584,2,14,30,0
2016,8,2016_08_KC_IND,KC,IND,0,71,422.0,2016,0,30,14,1
2016,8,2016_08_MIN_CHI,CHI,MIN,1,61,403.0,1961,0,20,10,1
2016,8,2016_08_MIN_CHI,MIN,CHI,0,60,258.0,1639,0,10,20,0
2016,8,2016_08_NE_BUF,BUF,NE,1,69,378.0,1809,0,25,41,0
2016,8,2016_08_NE_BUF,NE,BUF,0,61,357.0,1791,0,41,25,1
2016,8,2016_08_NYJ_CLE,CLE,NYJ,1,71,409.0,1579,2,28,31,0
2016,8,2016_08_NYJ_CLE,NYJ,CLE,0,71,393.0,2021,0,31,28,1
2016,8,2016_08_OAK_TB,LV,TB,0,85,626.0,2652,1,30,24,1
2016,8,2016_08_OAK_TB,TB,LV,1,62,272.0,1743,0,24,30,0
2016,8,2016_08_PHI_DAL,DAL,PHI,1,76,460.0,2037,1,29,23,1
2016,8,2016_08_PHI_DAL,PHI,DAL,0,71,291.0,1995,1,23,29,0
2016,8,2016_08_SD_DEN,DEN,LAC,1,64,324.0,1612,3,27,19,1
2016,8,2016_08_SD_DEN,LAC,DEN,0,78,369.0,1988,3,19,27,0
2016,8,2016_08_SEA_NO,NO,SEA,1,73,375.0,2172,1,25,20,1
2016,8,2016_08_SEA_NO,SEA,NO,0,54,359.0,1428,1,20,25,0
2016,8,2016_08_WAS_CIN,CIN,WAS,1,81,415.0,2118,2,27,27,0
2016,8,2016_08_WAS_CIN,WAS,CIN,0,88,546.0,2382,1,27,27,0
2016,9,2016_09_ATL_TB,ATL,TB,0,71,461.0,2008,1,43,28,1
2016,9,2016_09_ATL_TB,TB,ATL,1,72,398.0,1592,2,28,43,0
2016,9,2016_09_BUF_SEA,BUF,SEA,0,83,427.0,2417,1,25,31,0
2016,9,2016_09_BUF_SEA,SEA,BUF,1,42,278.0,1183,0,31,25,1
2016,9,2016_09_CAR_LA,CAR,LA,0,62,244.0,2052,0,13,10,1
2016,9,2016_09_CAR_LA,LA,CAR,1,67,339.0,1548,1,10,13,0
2016,9,2016_09_DAL_CLE,CLE,DAL,1,44,222.0,1221,0,10,35,0
2016,9,2016_09_DAL_CLE,DAL,CLE,0,70,423.0,2379,0,35,10,1
2016,9,2016_09_DEN_OAK,DEN,LV,0,51,299.0,1112,2,20,30,0
2016,9,2016_09_DEN_OAK,LV,DEN,1,76,397.0,2488,0,30,20,1
2016,9,2016_09_DET_MIN,DET,MIN,0,62,311.0,2011,1,22,16,1
2016,9,2016_09_DET_MIN,MIN,DET,1,67,337.0,1988,0,16,22,0
2016,9,2016_09_IND_GB,GB,IND,1,66,405.0,1797,1,26,31,0
2016,9,2016_09_IND_GB,IND,GB,0,66,355.0,1803,2,31,26,1
2016,9,2016_09_JAX_KC,JAX,KC,0,75,449.0,1779,3,14,19,0
2016,9,2016_09_JAX_KC,KC,JAX,1,57,231.0,1821,1,19,14,1
2016,9,2016_09_NO_SF,NO,SF,0,82,571.0,2333,0,41,23,1
2016,9,2016_09_NO_SF,SF,NO,1,57,486.0,1267,4,23,41,0
2016,9,2016_09_NYJ_MIA,MIA,NYJ,1,62,274.0,1822,0,27,23,1
